, PRODUCT A ,exp,err, PRODUCT B ,exp,err, PRODUCT C ,exp,err, PRODUCT D ,exp,err
DATE, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,
23-Aug-11,"7,288",7025.909922,3292.561153,642,625.0078849,268.2562228,,0.000124688,#DIV/0!,"4,134",3950.400601,2185.301522
24-Aug-11,"3,858",4016.395496,3708.564583,432,441.6503942,290.480204,20,19.00000623,11.5469334,"3,606",3623.22003,2139.434061
25-Aug-11,"1,365",1497.569775,3853.225271,18,39.18251971,332.77845,,0.950000312,11.5469334,756,899.3610015,2697.100798
26-Aug-11,250,312.3784887,2491.450829,,1.959125986,268.782254,,0.047500016,11.5469334,114,153.2680501,1727.845901
29-Aug-11,"2,595",2480.868924,2144.50378,366,347.7979563,322.4931082,,0.002375001,#DIV/0!,312,304.0634025,1718.811453
30-Aug-11,"5,368",5223.643446,2243.681287,492,484.7898978,226.0678271,,0.00011875,#DIV/0!,576,562.4031701,488.5138168
31-Aug-11,"7,188",7089.782172,2408.636093,510,508.7394949,226.5358961,20,19.00000594,11.54693682,"5,586",5334.820159,2906.066669
01-Sep-11,"2,231",2473.939109,3454.56156,,25.43697474,84.51780613,,0.950000297,11.54693682,"1,158",1366.841008,3775.195415
02-Sep-11,"2,948",2924.296955,3038.15704,,1.271848737,14.55505928,,0.047500015,11.54693682,354,404.6420504,3816.988283
06-Sep-11,"5,621",5486.164848,3219.974391,925,878.8135924,533.3146968,,0.002375001,#DIV/0!,132,145.6321025,2486.36329
07-Sep-11,"5,686",5676.008242,1585.021044,342,368.8406796,616.8312926,25,23.75011875,14.43238552,"6,240",5935.281605,3570.317477
08-Sep-11,702,950.7004121,3268.68472,12,29.84203398,650.3275588,,1.187505938,14.43238552,390,667.2640803,4759.75496
09-Sep-11,10,57.03502061,2924.927882,,1.492101699,372.1577191,,0.059375297,14.43238552,210,232.863204,4764.47124
